Database: mbFirstStudy
Exercise: 6
Age classes: [2,11], [12,21], [22,31], [32,41], [42,51], [52,61], [62,71], [72,81], 
Gender: -
Dominant hand: -
Session hand: -

userID;gender;dominantHand;age
MB_AM_13_5796a87a;169db5b82dd09e39d58c79277416c694;3;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.5586835;0.5647059;17
MB_AP_12_60299511;16e1fb8a074603de91bd95962f558299;1;720;1280;179.4345;820.5654;540.5654;820.5654;540.5654;459.4345;179.4345;459.4345;24.0754;0.640861;0.8;15
MB_AP_12_60299511;16e1fb8a074603de91bd95962f558299;2;720;1280;179.4345;820.5654;540.5654;820.5654;540.5654;459.4345;179.4345;459.4345;24.0754;0.5997849;0.8125;16
MB_AP_12_60299511;16e1fb8a074603de91bd95962f558299;3;720;1280;179.4345;820.5654;540.5654;820.5654;540.5654;459.4345;179.4345;459.4345;24.0754;0.6842913;0.7857143;14
MB_AM_04_018f1546;182c5b75a505649a20b18dc62f9f3918;1;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.4946594;0.62;20
MB_AM_04_018f1546;182c5b75a505649a20b18dc62f9f3918;2;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.5011468;0.7263158;19
MB_AM_04_018f1546;182c5b75a505649a20b18dc62f9f3918;3;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.4830139;0.43;20
MB_SZ_23_f0032506;1c3b75cedc53cb1d1ade0b62fd247a27;1;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.6193275;1;16
MB_SZ_23_f0032506;1c3b75cedc53cb1d1ade0b62fd247a27;2;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.5932732;0.925;16
MB_SZ_23_f0032506;1c3b75cedc53cb1d1ade0b62fd247a27;3;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.5940552;0.9625;16
MB_SZ_02_a2c1aa76;1d34cc4fe5dc2964367bf65d0ed608c9;1;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.7285391;0.8153846;13
MB_SZ_02_a2c1aa76;1d34cc4fe5dc2964367bf65d0ed608c9;2;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.7224826;1;13
MB_SZ_02_a2c1aa76;1d34cc4fe5dc2964367bf65d0ed608c9;3;480;800;113.0126;526.9874;366.9874;526.9874;366.9874;273.0126;113.0126;273.0126;16.93165;0.7121441;0.8615385;13
MB_AM_20_129b3fcf;1d85f639b90d464245577445244a170c;1;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;1.07883;1;9
MB_AM_20_129b3fcf;1d85f639b90d464245577445244a170c;2;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.9659302;0.46;10
MB_AM_20_129b3fcf;1d85f639b90d464245577445244a170c;3;1080;1776;278.446;1149.554;801.554;1149.554;801.554;626.446;278.446;626.446;34.87386;0.9489868;0.62;10
MB_SA_07_0042352e;202da045714f2bc0bb7a1684174cdf0c;1;480;800;102.4016;537.5984;377.5984;537.5984;377.5984;262.4016;102.4016;262.4016;18.34646;0.4605597;0.8;21
MB_SA_07_0042352e;202da045714f2bc0bb7a1684174cdf0c;2;480;800;102.4016;537.5984;377.5984;537.5984;377.5984;262.4016;102.4016;262.4016;18.34646;0.4884308;0.88;20
